id;Группа тем;Тема
5307;Благоустройство;Уборка территорий
5308;Общественный транспорт;Содержание остановок
5309;Социальное обслуживание и защита;Оказание гос. соц. помощи
5310;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5311;Социальное обслуживание и защита;Оказание гос. соц. помощи
5312;Мусор/Свалки/ТКО;Проблемы с контейнерами
5313;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5314;Общественный транспорт;Льготы на проезд и тарифы
5315;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5316;Благоустройство;Уборка территорий
5317;Дороги;Ремонт дороги
5318;Связь и телевидение;Спецпроекты
5319;ЖКХ;Ненадлежащее качество или отсутствие отопления
5320;Общественный транспорт;График движения общественного транспорта
5321;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5322;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5323;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5324;Благоустройство;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
5325;Социальное обслуживание и защита;Аварийное жилье/переселение
5326;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5327;ЖКХ;Отсутствие холодной воды
5328;Дороги;Содержание, ремонт и обустройство тротуаров
5329;Социальное обслуживание и защита;Оказание гос. соц. помощи
5330;Благоустройство;★ Неисправные фонари освещения
5331;Здравоохранение/Медицина;Тесты на коронавирус
5332;Социальное обслуживание и защита;Оказание гос. соц. помощи
5333;Социальное обслуживание и защита;Оказание гос. соц. помощи
5334;Строительство и архитектура;Строительство зданий
5335;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5336;Общественный транспорт;Отсутствие остановочных пунктов
5337;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
5338;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5339;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5340;Здравоохранение/Медицина;Льготные лекарства
5341;Образование;Образовательный процесс
5342;Дороги;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
5343;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5344;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5345;Мусор/Свалки/ТКО;★ Стихийные свалки в городе/в парках/в лесу
5346;Здравоохранение/Медицина;Диспансеризация
5347;Социальное обслуживание и защита;Дети и многодетные семьи
5348;Коронавирус;Доступность вакцин
5349;Здравоохранение/Медицина;Диспансеризация
5350;Дороги;Ремонт дороги
5351;Социальное обслуживание и защита;Дети и многодетные семьи
5352;ЖКХ;Отсутствие холодной воды
5353;Здравоохранение/Медицина;Хамство медицинских работников
5354;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5355;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5356;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
5357;Социальное обслуживание и защита;Оказание гос. соц. помощи
5358;Социальное обслуживание и защита;Дети и многодетные семьи
5359;ЖКХ;Жалобы на управляющие компании
5360;Благоустройство;Отсутствие фонарей освещения
5361;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5362;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5363;Мусор/Свалки/ТКО;Проблемы с контейнерами
5364;Здравоохранение/Медицина;Вакцинация
5365;Образование;Цены и ценообразование
5366;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5367;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5368;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5369;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5370;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5371;Дороги;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
5372;Социальное обслуживание и защита;Оказание гос. соц. помощи
5373;Благоустройство;Строительство зданий
5374;ЖКХ;Отсутствие электричества
5375;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5376;Здравоохранение/Медицина;Содержание больниц
5377;Образование;Образовательный процесс
5378;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5379;Социальное обслуживание и защита;Аварийное жилье/переселение
5380;Социальное обслуживание и защита;Цены и ценообразование
5381;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5382;Благоустройство;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
5383;Здравоохранение/Медицина;Ошибки врачей, халатность
5384;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5385;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5386;ЖКХ;Жалобы на управляющие компании
5387;Благоустройство;Уборка территорий
5388;Социальное обслуживание и защита;Оказание гос. соц. помощи
5389;Дороги;Организация переходов, светофоров/Изменить организацию движения
5390;Дороги;Ливневые канализации (строительство и реконструкция)
5391;Дороги;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
5392;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5393;Коронавирус;Тесты на коронавирус
5394;Здравоохранение/Медицина;Содержание больниц
5395;Социальное обслуживание и защита;Дети и многодетные семьи
5396;Благоустройство;★ Неисправные фонари освещения
5397;ЖКХ;Жалобы на управляющие компании
5398;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5399;Связь и телевидение;★ Информационно-техническая поддержка
5400;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5401;Социальное обслуживание и защита;Оказание гос. соц. помощи
5402;Благоустройство;★ Неисправные фонари освещения
5403;Социальное обслуживание и защита;Оказание гос. соц. помощи
5404;Социальное обслуживание и защита;Оказание гос. соц. помощи
5405;Социальное обслуживание и защита;Дети и многодетные семьи
5406;Социальное обслуживание и защита;Оказание гос. соц. помощи
5407;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5408;Дороги;Ремонт дороги
5409;Социальное обслуживание и защита;Оказание гос. соц. помощи
5410;Мусор/Свалки/ТКО;Проблемы с контейнерами
5411;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5412;Социальное обслуживание и защита;Оказание гос. соц. помощи
5413;Социальное обслуживание и защита;Дети и многодетные семьи
5414;Здравоохранение/Медицина;Борщевик Сосновского
5415;Дороги;Организация переходов, светофоров/Изменить организацию движения
5416;ЖКХ;Некачественный капитальный ремонт
5417;Социальное обслуживание и защита;Дети и многодетные семьи
5418;Дороги;Ремонт дороги
5419;Благоустройство;Отсутствие фонарей освещения
5420;ЖКХ;Ненадлежащее качество или отсутствие отопления
5421;Социальное обслуживание и защита;Оказание гос. соц. помощи
5422;Социальное обслуживание и защита;Дети и многодетные семьи
5423;Социальное обслуживание и защита;Дети и многодетные семьи
5424;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5425;Дороги;Ремонт/строительство мостов
5426;Здравоохранение/Медицина;Жалобы на врачей
5427;Социальное обслуживание и защита;Аварийное жилье/переселение
5428;Социальное обслуживание и защита;Оказание гос. соц. помощи
5429;Социальное обслуживание и защита;Дети и многодетные семьи
5430;Здравоохранение/Медицина;Содержание больниц
5431;Социальное обслуживание и защита;Оказание гос. соц. помощи
5432;Здравоохранение/Медицина;Ошибки врачей, халатность
5433;Дороги;Ремонт дороги
5434;ЖКХ;Отсутствие холодной воды
5435;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5436;Благоустройство;★ Неисправные фонари освещения
5437;Социальное обслуживание и защита;Дети и многодетные семьи
5438;Здравоохранение/Медицина;Льготные лекарства
5439;ЖКХ;Жалобы на управляющие компании
5440;Социальное обслуживание и защита;Оказание гос. соц. помощи
5441;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5442;Социальное обслуживание и защита;Дети и многодетные семьи
5443;Социальное обслуживание и защита;Оказание гос. соц. помощи
5444;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5445;Социальное обслуживание и защита;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5446;ЖКХ;Ненадлежащее качество или отсутствие отопления
5447;Социальное обслуживание и защита;Дети и многодетные семьи
5448;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5449;Дороги;Содержание, ремонт и обустройство тротуаров
5450;Социальное обслуживание и защита;Дети и многодетные семьи
5451;Общественный транспорт;График движения общественного транспорта
5452;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5453;ЖКХ;Качество электроснабжения
5454;Коронавирус;Тесты на коронавирус
5455;Здравоохранение/Медицина;Доступность вакцин
5456;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5457;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5458;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5459;Социальное обслуживание и защита;Дети и многодетные семьи
5460;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5461;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5462;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5463;ЖКХ;Отсутствие электричества
5464;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5465;Социальное обслуживание и защита;Дети и многодетные семьи
5466;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5467;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5468;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5469;Дороги;Ремонт дороги
5470;Социальное обслуживание и защита;Оказание гос. соц. помощи
5471;ЖКХ;Ненадлежащее качество или отсутствие отопления
5472;Социальное обслуживание и защита;Оказание гос. соц. помощи
5473;ЖКХ;Плохое качество воды
5474;Социальное обслуживание и защита;Оказание гос. соц. помощи
5475;Благоустройство;Уборка территорий
5476;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5477;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5478;Общественный транспорт;График движения общественного транспорта
5479;ЖКХ;Ненадлежащее качество или отсутствие отопления
5480;Образование;Жалобы на врачей
5481;Физическая культура и спорт;Строительство спортивной инфраструктуры
5482;Социальное обслуживание и защита;Аварийное жилье/переселение
5483;Социальное обслуживание и защита;Оказание гос. соц. помощи
5484;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5485;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5486;Здравоохранение/Медицина;Ошибки врачей, халатность
5487;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5488;Социальное обслуживание и защита;Оказание гос. соц. помощи
5489;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5490;Социальное обслуживание и защита;Аварийное жилье/переселение
5491;Здравоохранение/Медицина;Льготные лекарства
5492;Благоустройство;Уборка территорий
5493;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5494;ЖКХ;Жалобы на управляющие компании
5495;Общественный транспорт;График движения общественного транспорта
5496;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5497;Здравоохранение/Медицина;Льготные лекарства
5498;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5499;Благоустройство;Уборка территорий
5500;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5501;ЖКХ;Отсутствие горячей воды
5502;ЖКХ;Жалобы на управляющие компании
5503;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5504;Коронавирус;Сертификаты и QR-коды
5505;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5506;Дороги;★ Неисправные фонари освещения
5507;Здравоохранение/Медицина;Ошибки врачей, халатность
5508;Здравоохранение/Медицина;Льготные лекарства
5509;Общественный транспорт;Льготы на проезд и тарифы
5510;Благоустройство;★ Открытые канализационные люки
5511;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5512;Здравоохранение/Медицина;Содержание больниц
5513;Здравоохранение/Медицина;Жалобы на врачей
5514;Образование;Дистанционное образование
5515;Коронавирус;Тесты на коронавирус
5516;Социальное обслуживание и защита;Оказание гос. соц. помощи
5517;Здравоохранение/Медицина;Содержание больниц
5518;Социальное обслуживание и защита;Оказание гос. соц. помощи
5519;Мусор/Свалки/ТКО;Дети и многодетные семьи
5520;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5521;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5522;Социальное обслуживание и защита;Аварийное жилье/переселение
5523;Здравоохранение/Медицина;Жалобы на врачей
5524;ЖКХ;Завышение платы за коммунальные услуги
5525;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5526;Безопасность;Отлов безнадзорных собак и кошек
5527;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5528;Благоустройство;Уборка территорий
5529;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5530;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5531;Социальное обслуживание и защита;Дети и многодетные семьи
5532;Благоустройство;★ Открытые канализационные люки
5533;Дороги;Ремонт дороги
5534;Образование;Поддержка семей мобилизованных
5535;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5536;Общественный транспорт;График движения общественного транспорта
5537;Благоустройство;Борщевик Сосновского
5538;Безопасность;Безопасность общественных пространств
5539;Общественный транспорт;Изменение класса и количества автобусов
5540;Безопасность;Отлов безнадзорных собак и кошек
5541;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5542;Дороги;Ремонт дороги
5543;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5544;Социальное обслуживание и защита;Дети и многодетные семьи
5545;Дороги;Содержание, ремонт и обустройство тротуаров
5546;Коронавирус;Порядок и пункты вакцинации
5547;Дороги;Ремонт дороги
5548;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5549;Здравоохранение/Медицина;Льготные лекарства
5550;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5551;Безопасность;Учреждения культуры
5552;ЖКХ;Ненадлежащее качество или отсутствие отопления
5553;Социальное обслуживание и защита;Дети и многодетные семьи
5554;Социальное обслуживание и защита;Пенсионеры и ветераны
5555;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5556;Общественный транспорт;Изменение класса и количества автобусов
5557;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5558;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5559;Социальное обслуживание и защита;Оказание гос. соц. помощи
5560;Общественный транспорт;График движения общественного транспорта
5561;Социальное обслуживание и защита;Дети и многодетные семьи
5562;Социальное обслуживание и защита;Дети и многодетные семьи
5563;ЖКХ;Ненадлежащее качество или отсутствие отопления
5564;Социальное обслуживание и защита;Дети и многодетные семьи
5565;Образование;Детские оздоровительные лагеря
5566;Социальное обслуживание и защита;Дети и многодетные семьи
5567;Газ и топливо;Сроки газификации
5568;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5569;Социальное обслуживание и защита;Дети и многодетные семьи
5570;Социальное обслуживание и защита;Оказание гос. соц. помощи
5571;Дороги;Содержание, ремонт и обустройство тротуаров
5572;Социальное обслуживание и защита;Оказание гос. соц. помощи
5573;Социальное обслуживание и защита;Дети и многодетные семьи
5574;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5575;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5576;Дороги;Ремонт дороги
5577;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5578;Социальное обслуживание и защита;Оказание гос. соц. помощи
5579;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5580;Здравоохранение/Медицина;★ Информационно-техническая поддержка
5581;Дороги;Ремонт дороги
5582;Благоустройство;Вырубка деревьев, кустарников
5583;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5584;Дороги;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
5585;Социальное обслуживание и защита;Оказание гос. соц. помощи
5586;Общественный транспорт;График движения общественного транспорта
5587;Социальное обслуживание и защита;Оказание гос. соц. помощи
5588;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5589;Мусор/Свалки/ТКО;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
5590;ЖКХ;Жалобы на управляющие компании
5591;Социальное обслуживание и защита;Дети и многодетные семьи
5592;Социальное обслуживание и защита;Дети и многодетные семьи
5593;Благоустройство;Отсутствие детских площадок
5594;Социальное обслуживание и защита;Оказание гос. соц. помощи
5595;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5596;Мусор/Свалки/ТКО;★ Стихийные свалки в городе/в парках/в лесу
5597;Здравоохранение/Медицина;Льготные лекарства
5598;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5599;Социальное обслуживание и защита;Дети и многодетные семьи
5600;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5601;Социальное обслуживание и защита;Оказание гос. соц. помощи
5602;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5603;ЖКХ;Завышение платы за коммунальные услуги
5604;Социальное обслуживание и защита;Оказание гос. соц. помощи
5605;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5606;Связь и телевидение;★ Информационно-техническая поддержка
5607;Здравоохранение/Медицина;Содержание больниц
5608;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5609;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5610;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5611;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5612;Коронавирус;Жалобы на врачей
5613;Здравоохранение/Медицина;Очередь
5614;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5615;Социальное обслуживание и защита;Дети и многодетные семьи
5616;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5617;Мусор/Свалки/ТКО;Проблемы с контейнерами
5618;Здравоохранение/Медицина;Содержание больниц
5619;Социальное обслуживание и защита;Дети и многодетные семьи
5620;Безопасность;Строительство спортивной инфраструктуры
5621;Коронавирус;Тесты на коронавирус
5622;Дороги;Ремонт дороги
5623;ЖКХ;Жалобы на управляющие компании
5624;Социальное обслуживание и защита;Дети и многодетные семьи
5625;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5626;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5627;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5628;ЖКХ;Отсутствие горячей воды
5629;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5630;Социальное обслуживание и защита;Оказание гос. соц. помощи
5631;Здравоохранение/Медицина;Льготные лекарства
5632;ЖКХ;Жалобы на управляющие компании
5633;Здравоохранение/Медицина;Льготные лекарства
5634;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5635;Социальное обслуживание и защита;Оказание гос. соц. помощи
5636;Общественный транспорт;График движения общественного транспорта
5637;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5638;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5639;Благоустройство;Уборка территорий
5640;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5641;Здравоохранение/Медицина;Аварийное жилье/переселение
5642;Общественный транспорт;График движения общественного транспорта
5643;Образование;Образовательный процесс
5644;Социальное обслуживание и защита;Дети и многодетные семьи
5645;Социальное обслуживание и защита;Дети и многодетные семьи
5646;Благоустройство;Отсутствие детских площадок
5647;Социальное обслуживание и защита;Оказание гос. соц. помощи
5648;Дороги;Ремонт дороги
5649;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5650;Дороги;Освещение неисправно или отсутствует
5651;Социальное обслуживание и защита;Оказание гос. соц. помощи
5652;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5653;Благоустройство;Борщевик Сосновского
5654;Благоустройство;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
5655;Дороги;Ремонт дороги
5656;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5657;Социальное обслуживание и защита;Оказание гос. соц. помощи
5658;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5659;Социальное обслуживание и защита;Оказание гос. соц. помощи
5660;Образование;Строительство школ, детских садов
5661;Социальное обслуживание и защита;Оказание гос. соц. помощи
5662;Социальное обслуживание и защита;Оказание гос. соц. помощи
5663;Дороги;Организация переходов, светофоров/Изменить организацию движения
5664;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5665;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
